database,dataset_size,indexing,operation,trial_no,execution_time_ms,timestamp
mongodb,50000,no_index,read,10,49.8893,2026-05-09T21:07:14
mongodb,50000,no_index,update,1,3.5270,2026-05-09T21:07:14
mongodb,50000,no_index,update,2,8.5869,2026-05-09T21:07:14
mongodb,50000,no_index,update,3,10.7600,2026-05-09T21:07:14
mongodb,50000,no_index,update,4,22.1009,2026-05-09T21:07:14
mongodb,50000,no_index,update,5,29.2766,2026-05-09T21:07:14
mongodb,50000,no_index,update,6,34.0425,2026-05-09T21:07:14
mongodb,50000,no_index,update,7,48.5323,2026-05-09T21:07:14
mongodb,50000,no_index,update,8,54.8167,2026-05-09T21:07:14
mongodb,50000,no_index,update,9,50.0706,2026-05-09T21:07:14
mongodb,50000,no_index,update,10,55.3463,2026-05-09T21:07:14
mongodb,50000,no_index,delete,1,3.5969,2026-05-09T21:07:14
mongodb,50000,no_index,delete,2,7.8354,2026-05-09T21:07:14
mongodb,50000,no_index,delete,3,10.7678,2026-05-09T21:07:14
mongodb,50000,no_index,delete,4,21.3495,2026-05-09T21:07:14
mongodb,50000,no_index,delete,5,27.2822,2026-05-09T21:07:14
mongodb,50000,no_index,delete,6,33.2133,2026-05-09T21:07:14
mongodb,50000,no_index,delete,7,46.7423,2026-05-09T21:07:14
mongodb,50000,no_index,delete,8,48.7153,2026-05-09T21:07:14
mongodb,50000,no_index,delete,9,49.9806,2026-05-09T21:07:14
mongodb,50000,no_index,delete,10,57.3264,2026-05-09T21:07:15
mongodb,100000,indexed,create,1,0.6826,2026-05-09T21:07:57
mongodb,100000,indexed,create,2,0.7190,2026-05-09T21:07:57
mongodb,100000,indexed,create,3,0.7092,2026-05-09T21:07:57
mongodb,100000,indexed,create,4,0.6047,2026-05-09T21:07:57
mongodb,100000,indexed,create,5,0.5664,2026-05-09T21:07:57
mongodb,100000,indexed,create,6,0.5481,2026-05-09T21:07:57
mongodb,100000,indexed,create,7,0.5598,2026-05-09T21:07:57
mongodb,100000,indexed,create,8,0.5433,2026-05-09T21:07:57
